instance_id,sentence,target_word,predicted_sense,gold_sense,gold_sense_key,score,is_correct
d000.s000.t002,Your Oct. 6 editorial `` The Ill Homeless `` referred to research by us and six of our colleagues that was reported in the Sept. 8 issue of the Journal of the American Medical Association .,reported,report.v.02,report.v.02,report%2:32:04::,2.846851110458374,True
d000.s001.t004,Your comments implied we had discovered that the `` principal cause `` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population .,found,find.v.01,detect.v.01,find%2:39:02::,1.366803765296936,False
d000.s002.t001,We have made no such statement .,statement,affirmation.n.02,affirmation.n.02,statement%1:10:06::,2.899714946746826,True
d000.s003.t000,It is clear that most mentally ill people and most alcoholics do not become homeless .,become,become.v.01,become.v.01,become%2:30:00::,3.1246917247772217,True
d000.s004.t001,The `` causes `` of homelessness are poorly understood and complex in any individual case .,understood,understand.v.02,understand.v.01,understand%2:31:00::,1.7731465101242065,False
d000.s005.t001,In quoting from our research you emphasized the high prevalance of mental illness and alcoholism .,emphasized,stress.v.01,stress.v.01,emphasize%2:32:00::,0.5436983704566956,True
d000.s006.t004,You did not note that the homeless people we examined had a multitude of physical disorders in addition to their psychiatric problems and substance abuse .,multitude,battalion.n.02,battalion.n.02,multitude%1:23:00::,1.625693440437317,True
d000.s007.t000,"They suffered from malnutrition , chest diseases , cardiovascular disorders , skin problems , infectious diseases and the aftereffects of assaults and rape .",suffered,suffer.v.01,suffer.v.02,suffer%2:29:01::,-0.01119941845536232,False
d000.s008.t004,"Homeless people not only lack safety , privacy and shelter , they also lack the elementary necessities of nutrition , cleanliness and basic health care .",necessities,necessity.n.01,necessity.n.02,necessity%1:17:00::,2.499117612838745,False
d000.s009.t007,"In a recent report , the Institute of Medicine pointed out that certain health problems may predispose a person to homelessness , others may be a consequence of it , and a third category is composed of disorders whose treatment is difficult or impossible if a person lacks adequate shelter .",shelter,shelter.n.01,protection.n.04,shelter%1:26:00::,0.5257441997528076,False
d000.s010.t002,"The interactions between health and homelessness are complex , defying sweeping generalizations as to `` cause `` or `` effect . ``",generalizations,generalization.n.01,generalization.n.02,generalization%1:09:00::,1.4203505516052246,False
d000.s011.t001,"If we look to the future , preventing homelessness is an important objective .",preventing,prevent.v.01,prevent.v.01,prevent%2:41:01::,1.7820965051651,True
d000.s012.t004,"This will require us to develop a much more sophisticated understanding of the dynamics of homelessness than we currently possess , an understanding that can be developed only through careful study and research .",developed,developed.a.01,develop.v.03,develop%2:30:06::,0.4588071405887604,False
d000.s014.t001,"A study by Tulane Prof. James Wright says homelessness is due to a complex array of problems , with the common thread of poverty .",says,allege.v.01,allege.v.01,say%2:32:01::,2.511284112930298,True
d000.s015.t004,"The study shows that nearly 40 % of the homeless population is made up of women and children and that only 25 % of the homeless exhibits some combination of drug , alcohol and mental problems .",combination,combination.n.01,combination.n.01,combination%1:14:00::,-0.09051214903593063,True
d000.s016.t005,"According to Dr. Wright , homelessness is `` simultaneously a housing problem , an employment problem , a demographic problem , a problem of social disaffiliation , a mental health problem , a family violence problem , a problem created by the cutbacks in social welfare spending , a problem resulting from the decay of the traditional nuclear family , and a problem intimately connected to the recent increase in the number of persons living below the poverty level . ``",living,populate.v.01,live.v.02,live%2:42:06::,1.7042710781097412,False
d000.s018.t004,"To quote the highly regarded director of a privately funded drop-in center for the homeless in New York : `` If you 're homeless , you do n't sleep for fear of being robbed or murdered .",robbed,overcharge.v.01,rob.v.01,rob%2:40:00::,1.8752467632293701,False
