instance_id,sentence,target_word,predicted_sense,gold_sense,gold_sense_key,score,is_correct
d000.s000.t009,"The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .",world,universe.n.01,populace.n.01,world%1:14:02::,3.0349438190460205,False
d000.s001.t000,"Dorothy L. Sayers , `` The Nine Tailors ``",Tailors,tailor.n.01,tailor.n.01,tailor%1:18:00::,0.3621397614479065,True
d000.s002.t000,"ASLACTON , England --",England,england.n.01,england.n.01,england%1:15:00::,-0.14723387360572815,True
d000.s003.t016,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .",evensong,evening_prayer.n.01,evening_prayer.n.01,evensong%1:10:00::,-0.45789989829063416,True
d000.s004.t007,"The parishioners of St. Michael and All Angels stop to chat at the church door , as members here always have .",always,always.r.01,always.r.01,always%4:02:00::,-1.1440455913543701,True
d000.s005.t011,"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .",here,here.r.01,here.r.01,here%4:02:00::,3.7230749130249023,True
d000.s006.t010,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .",evening,evening.n.01,evening.n.01,evening%1:28:00::,0.4520781338214874,True
d000.s007.t014,"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own `` band `` of ringers , who would herald every Sunday morning and evening service .",service,service.n.03,service.n.03,service%1:04:01::,0.965632438659668,True
d000.s008.t004,"Now , only one local ringer remains : 64-year-old Derek Hammond .",remains,remain.v.03,stay.v.04,remain%2:42:03::,0.9621297717094421,False
d000.s009.t003,The others here today live elsewhere .,elsewhere,elsewhere.r.01,elsewhere.r.01,elsewhere%4:02:00::,2.1536707878112793,True
d000.s010.t016,They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia .,belfries,campanile.n.01,campanile.n.01,belfry%1:06:01::,1.2298747301101685,True
d000.s011.t006,"`` To ring for even one service at this tower , we have to scrape , `` says Mr. Hammond , a retired water-authority worker . ``",worker,worker.n.01,worker.n.01,worker%1:18:00::,2.6115288734436035,True
d000.s012.t007,"We 've tried to train the youngsters , but they have their discos and their dances , and they just drift away . ``",away,away.r.01,away.r.01,away%4:02:00::,1.7304401397705078,True
d000.s013.t009,Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the East Anglian group that keeps the Aslacton bells pealing .,pealing,ring.v.01,peal.v.01,peal%2:39:00::,3.2653660774230957,False
d000.s014.t001,"History , after all , is not on his side .",side,side.n.01,side.n.10,side%1:10:00::,3.0006215572357178,False
d000.s015.t013,"According to a nationwide survey taken a year ago , nearly a third of England 's church bells are no longer rung on Sundays because there is no one to ring them .",ring,ring.v.01,ring.v.03,ring%2:39:01::,2.8338236808776855,False
d000.s016.t003,It is easy to see why the ancient art is on the ropes .,art,art.n.01,art.n.03,art%1:09:00::,3.346393346786499,False
d000.s017.t014,"The less complicated version of playing tunes on bells , as do the carillons of continental Europe , is considered by the English to be childish , fit only for foreigners .",foreigners,foreigner.n.01,foreigner.n.01,foreigner%1:18:00::,2.7751927375793457,True
d000.s018.t016,"Change-ringing , a mind-boggling exercise the English invented 380 years ago , requires physical dexterity -- some bells weigh more than a ton -- combined with intense mental concentration .",concentration,concentration.n.05,assiduity.n.01,concentration%1:07:01::,1.6425507068634033,False
d000.s019.t014,"Proper English bells are started off in `` rounds , `` from the highest-pitched bell to the lowest -- a simple descending scale using , in larger churches , as many as 12 bells .",bells,bell.n.01,bell.n.01,bell%1:06:00::,-0.007496533915400505,True
d000.s020.t011,"Then , at a signal , the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking .",striking,dramatic.s.02,hit.n.02,striking%1:04:00::,0.4150228500366211,False
d000.s021.t006,"Each variation , or change , can occur only once , the rules state .",state,state.v.01,state.v.01,state%2:32:00::,0.46990910172462463,True
d000.s022.t006,"Ringers memorize patterns of changes , known as `` methods , `` which have odd-sounding names like Kent Treble Bob Major or Grandsire Caters .",names,name.n.01,name.n.01,name%1:10:00::,0.7603018283843994,True
